条件,打率,打席,打数,安打,2塁,3塁,本塁,三振,四球,死球,犠打,犠飛,出塁率
0-0より,0.404,58,52,21,3,0,1,0,1,0,5,0,0.415
1-0より,0.522,23,23,12,0,0,3,0,0,0,0,0,0.522
2-0より,0.333,6,6,2,0,1,0,0,0,0,0,0,0.333
3-0より,0.0,4,2,0,0,0,0,0,2,0,0,0,0.5
0-1より,0.4,26,25,10,1,0,1,0,0,1,0,0,0.423
1-1より,0.345,29,29,10,0,0,0,0,0,0,0,0,0.345
2-1より,0.357,15,14,5,1,0,0,0,0,0,1,0,0.357
3-1より,0.143,15,7,1,0,0,1,0,8,0,0,0,0.6
0-2より,0.209,44,43,9,0,0,0,19,0,1,0,0,0.227
1-2より,0.174,71,69,12,1,0,0,34,0,2,0,0,0.197
2-2より,0.164,55,55,9,4,0,0,24,0,0,0,0,0.164
3-2より,0.103,42,29,3,1,0,0,15,12,1,0,0,0.381
