NOI434.6,GPA.227,RC18.54,RC273.63,XR18.91,XR273.70,RCAA-0.95,XR+-0.81,RCWIN-0.11,XRWIN-0.09,BABIP.275
BB/K,IsoD,PA/BB,PA/K,IsoP,AB/HR,SecA,TA,PS,TTO率,
0.45,0.092,15.23,6.83,0.076,86.00,0.157,0.581,1.33,22.2%,
